DATE,TYPE,CATEGORY,AMOUNT
2019-01-10,Inflow,Asset Sales,100
2019-01-10,Inflow,Interest Income,100
2019-01-10,Inflow,Tax Refunds,100
2019-01-10,Inflow,Grant / Aid Received,475
2019-01-10,Inflow,Sales Revenue,2214
2019-01-10,Outflow,Vendor Payments,701
2019-01-11,Outflow,Marketing & Ads,346
2019-01-11,Outflow,Maintenance & Repairs,79
2019-01-11,Outflow,Professional Services,174
2019-01-11,Outflow,Office Supplies,63
2019-01-11,Outflow,Tax Payments,50
2019-01-11,Outflow,Vendor Payments,772
2019-01-11,Inflow,Grant / Aid Received,513
2019-01-11,Inflow,Commission Income,150
2019-01-11,Inflow,Interest Income,100
2019-01-11,Inflow,Tax Refunds,100
2019-01-11,Inflow,Consulting Fees,438
2019-01-11,Inflow,Service Fees,1270
2019-01-11,Inflow,Sales Revenue,2864
2019-01-12,Inflow,Commission Income,100
2019-01-12,Inflow,Rental Income,224
2019-01-12,Inflow,Interest Income,100
2019-01-13,Inflow,Subscription Income,311
2019-01-13,Inflow,Consulting Fees,100
2019-01-13,Outflow,Office Supplies,50
2019-01-14,Outflow,Vendor Payments,515
2019-01-14,Outflow,Professional Services,183
2019-01-14,Outflow,Travel & Transport,50
2019-01-14,Outflow,Equipment Purchase,133
2019-01-14,Outflow,Tax Payments,50
2019-01-14,Inflow,Consulting Fees,276
2019-01-14,Inflow,Sales Revenue,2203
2019-01-14,Inflow,Interest Income,101
2019-01-14,Inflow,Tax Refunds,100
2019-01-14,Inflow,Grant / Aid Received,426
2019-01-14,Inflow,Service Fees,957
2019-01-14,Inflow,Asset Sales,100
2019-01-15,Outflow,Professional Services,136
2019-01-15,Outflow,Office Supplies,68
2019-01-15,Outflow,Equipment Purchase,157
2019-01-15,Outflow,Loan Repayments,5046
2019-01-15,Outflow,Marketing & Ads,171
2019-01-15,Outflow,Maintenance & Repairs,76
2019-01-15,Inflow,Asset Sales,100
2019-01-15,Inflow,Interest Income,100
2019-01-15,Inflow,Tax Refunds,100
2019-01-15,Inflow,Service Fees,942
2019-01-15,Inflow,Sales Revenue,2184
2019-01-15,Outflow,Vendor Payments,865
2019-01-16,Outflow,Maintenance & Repairs,112
2019-01-16,Outflow,Office Supplies,50
2019-01-16,Outflow,Equipment Purchase,163
2019-01-16,Outflow,Tax Payments,55
2019-01-16,Outflow,Marketing & Ads,209
2019-01-16,Inflow,Consulting Fees,459
2019-01-16,Inflow,Commission Income,199
2019-01-16,Inflow,Interest Income,105
2019-01-16,Inflow,Tax Refunds,100
2019-01-16,Inflow,Subscription Income,627
2019-01-16,Inflow,Service Fees,1068
2019-01-16,Inflow,Asset Sales,100
2019-01-17,Outflow,Equipment Purchase,143
2019-01-17,Outflow,Maintenance & Repairs,85
2019-01-17,Outflow,Professional Services,147
2019-01-17,Outflow,Travel & Transport,69
2019-01-17,Outflow,Vendor Payments,939
2019-01-17,Inflow,Consulting Fees,494
2019-01-17,Inflow,Commission Income,204
2019-01-17,Inflow,Interest Income,114
2019-01-17,Inflow,Tax Refunds,100
2019-01-17,Inflow,Subscription Income,704
2019-01-17,Inflow,Service Fees,1107
2019-01-17,Inflow,Sales Revenue,2113
2019-01-18,Inflow,Sales Revenue,2669
2019-01-18,Inflow,Interest Income,105
2019-01-18,Inflow,Asset Sales,100
2019-01-18,Inflow,Commission Income,236
2019-01-18,Outflow,Vendor Payments,765
2019-01-18,Outflow,Marketing & Ads,303
2019-01-18,Outflow,Tax Payments,50
2019-01-19,Outflow,Travel & Transport,50
2019-01-19,Inflow,Rental Income,168
2019-01-19,Outflow,Maintenance & Repairs,50
2019-01-19,Inflow,Subscription Income,525
2019-01-19,Inflow,Sales Revenue,1584
2019-01-19,Inflow,Commission Income,100
2019-01-20,Inflow,Sales Revenue,747
2019-01-20,Inflow,Subscription Income,386
2019-01-20,Outflow,Marketing & Ads,50
2019-01-21,Outflow,Maintenance & Repairs,75
2019-01-21,Outflow,Travel & Transport,50
2019-01-21,Outflow,Office Supplies,52
2019-01-21,Inflow,Consulting Fees,369
2019-01-21,Inflow,Asset Sales,100
2019-01-21,Inflow,Interest Income,103
2019-01-21,Inflow,Grant / Aid Received,467
2019-01-21,Inflow,Subscription Income,464
2019-01-21,Inflow,Service Fees,629
2019-01-21,Inflow,Tax Refunds,100
2019-01-22,Outflow,Marketing & Ads,199
2019-01-22,Outflow,Maintenance & Repairs,110
2019-01-22,Outflow,Professional Services,296
2019-01-22,Outflow,Travel & Transport,87
2019-01-22,Outflow,Equipment Purchase,164
2019-01-22,Inflow,Consulting Fees,349
2019-01-22,Outflow,Office Supplies,66
2019-01-22,Inflow,Asset Sales,100
2019-01-22,Inflow,Interest Income,108
2019-01-22,Inflow,Commission Income,223
2019-01-22,Inflow,Tax Refunds,100
2019-01-22,Inflow,Grant / Aid Received,414
2019-01-22,Inflow,Sales Revenue,2497
2019-01-23,Outflow,Maintenance & Repairs,71
2019-01-23,Outflow,Professional Services,197
2019-01-23,Outflow,Equipment Purchase,100
2019-01-23,Outflow,Tax Payments,58
2019-01-23,Outflow,Marketing & Ads,244
2019-01-23,Outflow,Vendor Payments,639
2019-01-23,Inflow,Asset Sales,100
2019-01-23,Inflow,Interest Income,100
2019-01-23,Inflow,Tax Refunds,100
2019-01-23,Inflow,Grant / Aid Received,476
2019-01-23,Inflow,Subscription Income,659
2019-01-23,Inflow,Service Fees,1132
2019-01-23,Inflow,Sales Revenue,2897
2019-01-24,Outflow,Professional Services,195
2019-01-24,Outflow,Equipment Purchase,208
2019-01-24,Outflow,Marketing & Ads,212
2019-01-24,Outflow,Maintenance & Repairs,64
2019-01-24,Outflow,Vendor Payments,706
2019-01-24,Inflow,Consulting Fees,454
2019-01-24,Inflow,Grant / Aid Received,419
2019-01-24,Inflow,Asset Sales,100
2019-01-24,Inflow,Interest Income,100
2019-01-24,Inflow,Subscription Income,606
2019-01-24,Inflow,Service Fees,1152
2019-01-24,Inflow,Sales Revenue,2300
2019-01-24,Inflow,Commission Income,171
2019-01-25,Outflow,Travel & Transport,80
2019-01-25,Outflow,Equipment Purchase,141
2019-01-25,Outflow,Vendor Payments,599
2019-01-25,Inflow,Consulting Fees,497
2019-01-25,Inflow,Commission Income,226
2019-01-25,Inflow,Tax Refunds,100
2019-01-25,Inflow,Grant / Aid Received,564
2019-01-25,Inflow,Subscription Income,540
2019-01-25,Inflow,Sales Revenue,2776
2019-01-25,Inflow,Asset Sales,100
2019-01-25,Outflow,Maintenance & Repairs,88
2019-01-26,Outflow,Vendor Payments,197
2019-01-26,Outflow,Travel & Transport,51
2019-01-26,Inflow,Rental Income,212
2019-01-26,Inflow,Subscription Income,607
2019-01-27,Inflow,Service Fees,237
2019-01-27,Inflow,Subscription Income,416
2019-01-27,Inflow,Interest Income,100
2019-01-27,Outflow,Equipment Purchase,50
2019-01-28,Outflow,Professional Services,180
2019-01-28,Outflow,Travel & Transport,52
2019-01-28,Outflow,Tax Payments,50
2019-01-28,Outflow,Marketing & Ads,254
2019-01-28,Outflow,Vendor Payments,395
2019-01-28,Outflow,Staff Salaries,27646
2019-01-28,Inflow,Consulting Fees,305
2019-01-28,Outflow,Equipment Purchase,113
2019-01-28,Inflow,Asset Sales,100
2019-01-28,Inflow,Interest Income,100
2019-01-28,Inflow,Tax Refunds,100
2019-01-28,Inflow,Grant / Aid Received,533
2019-01-28,Inflow,Subscription Income,536
2019-01-28,Inflow,Sales Revenue,2410
2019-01-28,Inflow,Commission Income,100
2019-01-29,Outflow,Maintenance & Repairs,138
2019-01-29,Outflow,Travel & Transport,62
2019-01-29,Outflow,Office Supplies,77
2019-01-29,Outflow,Equipment Purchase,168
2019-01-29,Outflow,Tax Payments,50
2019-01-29,Inflow,Consulting Fees,415
2019-01-29,Inflow,Commission Income,195
2019-01-29,Inflow,Tax Refunds,100
2019-01-29,Inflow,Interest Income,103
2019-01-29,Inflow,Grant / Aid Received,426
2019-01-29,Inflow,Subscription Income,601
2019-01-29,Inflow,Service Fees,1163
2019-01-29,Inflow,Sales Revenue,1942
2019-01-29,Inflow,Asset Sales,100
2019-01-30,Outflow,Marketing & Ads,215
2019-01-30,Outflow,Office Supplies,69
2019-01-30,Inflow,Commission Income,175
2019-01-30,Outflow,Maintenance & Repairs,88
2019-01-30,Outflow,Travel & Transport,85
2019-01-30,Outflow,Vendor Payments,638
2019-01-30,Inflow,Asset Sales,100
2019-01-30,Inflow,Interest Income,109
2019-01-30,Inflow,Subscription Income,586
2019-01-30,Inflow,Sales Revenue,1750
2019-01-30,Inflow,Consulting Fees,426
2019-01-31,Outflow,Vendor Payments,794
2019-01-31,Inflow,Subscription Income,681
2019-01-31,Inflow,Grant / Aid Received,523
2019-01-31,Inflow,Tax Refunds,100
2019-01-31,Inflow,Interest Income,109
2019-01-31,Inflow,Commission Income,169
2019-01-31,Inflow,Consulting Fees,403
2019-01-31,Outflow,Marketing & Ads,266
2019-01-31,Outflow,Tax Payments,50
2019-01-31,Outflow,Travel & Transport,82
2019-01-31,Outflow,Professional Services,215
2019-02-01,Outflow,Vendor Payments,857
2019-02-01,Inflow,Subscription Income,582
2019-02-01,Outflow,Professional Services,185
2019-02-01,Outflow,Rent & Utilities,8809
2019-02-01,Outflow,Equipment Purchase,142
2019-02-01,Inflow,Consulting Fees,526
2019-02-01,Inflow,Sales Revenue,2460
2019-02-01,Inflow,Interest Income,112
2019-02-01,Inflow,Tax Refunds,100
2019-02-01,Inflow,Grant / Aid Received,121
2019-02-01,Inflow,Service Fees,1071
2019-02-01,Inflow,Commission Income,236
2019-02-02,Outflow,Equipment Purchase,50
2019-02-02,Inflow,Subscription Income,471
2019-02-02,Inflow,Commission Income,100
2019-02-02,Inflow,Rental Income,218
2019-02-02,Outflow,Travel & Transport,60
2019-02-03,Inflow,Asset Sales,100
2019-02-03,Inflow,Tax Refunds,100
2019-02-03,Outflow,Office Supplies,50
2019-02-04,Outflow,Tax Payments,50
2019-02-04,Outflow,Office Supplies,50
2019-02-04,Outflow,Marketing & Ads,191
2019-02-04,Outflow,Professional Services,129
2019-02-04,Outflow,Travel & Transport,55
2019-02-04,Outflow,Vendor Payments,598
2019-02-04,Inflow,Commission Income,142
2019-02-04,Inflow,Consulting Fees,323
2019-02-04,Inflow,Interest Income,100
2019-02-04,Inflow,Grant / Aid Received,125
2019-02-04,Inflow,Subscription Income,657
2019-02-04,Inflow,Service Fees,787
2019-02-04,Inflow,Sales Revenue,2265
2019-02-05,Outflow,Travel & Transport,101
2019-02-05,Outflow,Insurance Premiums,2539
2019-02-05,Outflow,Equipment Purchase,144
2019-02-05,Outflow,Marketing & Ads,209
2019-02-05,Inflow,Consulting Fees,347
2019-02-05,Inflow,Commission Income,151
2019-02-05,Outflow,Maintenance & Repairs,115
2019-02-05,Inflow,Interest Income,100
2019-02-05,Inflow,Tax Refunds,100
2019-02-05,Inflow,Grant / Aid Received,130
2019-02-05,Inflow,Subscription Income,622
2019-02-05,Inflow,Service Fees,868
2019-02-05,Inflow,Asset Sales,100
2019-02-06,Outflow,Maintenance & Repairs,93
2019-02-06,Outflow,Travel & Transport,90
2019-02-06,Outflow,Equipment Purchase,161
2019-02-06,Outflow,Tax Payments,50
2019-02-06,Outflow,Marketing & Ads,306
2019-02-06,Outflow,Vendor Payments,765
2019-02-06,Inflow,Commission Income,202
2019-02-06,Inflow,Interest Income,100
2019-02-06,Inflow,Grant / Aid Received,125
2019-02-06,Inflow,Subscription Income,510
2019-02-06,Inflow,Service Fees,987
2019-02-06,Inflow,Sales Revenue,2416
2019-02-06,Inflow,Consulting Fees,385
2019-02-07,Outflow,Equipment Purchase,176
2019-02-07,Outflow,Maintenance & Repairs,103
2019-02-07,Outflow,Professional Services,202
2019-02-07,Outflow,Office Supplies,83
2019-02-07,Inflow,Consulting Fees,473
2019-02-07,Outflow,Travel & Transport,69
2019-02-07,Outflow,Tax Payments,52
2019-02-07,Inflow,Service Fees,1023
2019-02-07,Inflow,Subscription Income,601
2019-02-07,Inflow,Commission Income,193
2019-02-07,Inflow,Grant / Aid Received,127
2019-02-07,Inflow,Tax Refunds,100
2019-02-08,Inflow,Sales Revenue,3587
2019-02-08,Inflow,Service Fees,870
2019-02-08,Inflow,Subscription Income,524
2019-02-08,Inflow,Tax Refunds,100
2019-02-08,Inflow,Commission Income,193
2019-02-08,Inflow,Consulting Fees,390
2019-02-08,Outflow,Marketing & Ads,246
2019-02-08,Outflow,Office Supplies,64
2019-02-08,Outflow,Travel & Transport,117
2019-02-08,Outflow,Professional Services,205
2019-02-08,Inflow,Grant / Aid Received,114
2019-02-09,Outflow,Equipment Purchase,54
2019-02-09,Outflow,Office Supplies,50
2019-02-09,Outflow,Maintenance & Repairs,50
2019-02-09,Inflow,Commission Income,100
2019-02-09,Inflow,Subscription Income,415
2019-02-09,Inflow,Service Fees,329
2019-02-09,Inflow,Rental Income,160
2019-02-10,Inflow,Sales Revenue,502
2019-02-10,Inflow,Consulting Fees,100
2019-02-10,Outflow,Software Subscriptions,1790
2019-02-10,Outflow,Maintenance & Repairs,50
2019-02-11,Outflow,Office Supplies,54
2019-02-11,Outflow,Tax Payments,50
2019-02-11,Outflow,Marketing & Ads,191
2019-02-11,Outflow,Vendor Payments,411
2019-02-11,Inflow,Asset Sales,100
2019-02-11,Inflow,Subscription Income,600
2019-02-11,Inflow,Tax Refunds,100
2019-02-11,Inflow,Service Fees,655
2019-02-11,Inflow,Sales Revenue,1541
2019-02-11,Inflow,Interest Income,100
2019-02-12,Outflow,Office Supplies,82
2019-02-12,Outflow,Travel & Transport,105
2019-02-12,Inflow,Grant / Aid Received,149
2019-02-12,Outflow,Maintenance & Repairs,117
2019-02-12,Outflow,Tax Payments,50
2019-02-12,Outflow,Professional Services,167
2019-02-12,Outflow,Marketing & Ads,291
2019-02-12,Inflow,Service Fees,823
2019-02-12,Inflow,Consulting Fees,542
2019-02-12,Inflow,Commission Income,171
2019-02-12,Inflow,Interest Income,105
2019-02-12,Outflow,Vendor Payments,715
2019-02-12,Inflow,Subscription Income,462
2019-02-12,Inflow,Sales Revenue,2739
2019-02-13,Outflow,Travel & Transport,90
2019-02-13,Outflow,Office Supplies,57
2019-02-13,Outflow,Equipment Purchase,95
2019-02-13,Outflow,Vendor Payments,551
2019-02-13,Inflow,Consulting Fees,324
2019-02-13,Outflow,Maintenance & Repairs,127
2019-02-13,Inflow,Interest Income,110
2019-02-13,Inflow,Tax Refunds,100
2019-02-13,Inflow,Service Fees,1193
2019-02-13,Inflow,Sales Revenue,2715
2019-02-13,Inflow,Commission Income,223
2019-02-14,Outflow,Maintenance & Repairs,112
2019-02-14,Outflow,Professional Services,134
2019-02-14,Outflow,Travel & Transport,79
2019-02-14,Outflow,Office Supplies,50
2019-02-14,Outflow,Equipment Purchase,149
2019-02-14,Outflow,Tax Payments,50
2019-02-14,Inflow,Consulting Fees,328
2019-02-14,Inflow,Asset Sales,100
2019-02-14,Inflow,Tax Refunds,100
2019-02-14,Inflow,Subscription Income,607
2019-02-14,Outflow,Vendor Payments,693
2019-02-15,Outflow,Maintenance & Repairs,90
2019-02-15,Outflow,Professional Services,142
2019-02-15,Outflow,Travel & Transport,86
2019-02-15,Outflow,Loan Repayments,4802
2019-02-15,Outflow,Marketing & Ads,217
2019-02-15,Inflow,Commission Income,179
2019-02-15,Inflow,Consulting Fees,473
2019-02-15,Inflow,Tax Refunds,100
2019-02-15,Inflow,Grant / Aid Received,105
2019-02-15,Inflow,Subscription Income,554
2019-02-15,Inflow,Service Fees,850
2019-02-15,Inflow,Sales Revenue,2848
2019-02-15,Inflow,Interest Income,114
2019-02-16,Inflow,Rental Income,164
2019-02-17,Inflow,Interest Income,100
2019-02-17,Inflow,Asset Sales,100
2019-02-18,Outflow,Maintenance & Repairs,53
2019-02-18,Outflow,Professional Services,84
2019-02-18,Outflow,Tax Payments,50
2019-02-18,Inflow,Consulting Fees,331
2019-02-18,Inflow,Asset Sales,100
2019-02-18,Outflow,Office Supplies,50
2019-02-18,Inflow,Tax Refunds,100
2019-02-18,Inflow,Grant / Aid Received,123
2019-02-18,Inflow,Subscription Income,619
2019-02-18,Inflow,Sales Revenue,1812
2019-02-18,Inflow,Interest Income,109
2019-02-19,Outflow,Maintenance & Repairs,88
2019-02-19,Outflow,Professional Services,130
2019-02-19,Outflow,Travel & Transport,69
2019-02-19,Outflow,Office Supplies,62
2019-02-19,Outflow,Equipment Purchase,107
2019-02-19,Outflow,Tax Payments,50
2019-02-19,Outflow,Vendor Payments,684
2019-02-19,Inflow,Commission Income,281
2019-02-19,Inflow,Asset Sales,100
2019-02-19,Inflow,Interest Income,109
2019-02-19,Inflow,Tax Refunds,100
2019-02-19,Inflow,Grant / Aid Received,156
2019-02-19,Inflow,Sales Revenue,2982
2019-02-19,Inflow,Consulting Fees,514
2019-02-20,Outflow,Tax Payments,50
2019-02-20,Outflow,Office Supplies,50
2019-02-20,Outflow,Maintenance & Repairs,75
2019-02-20,Outflow,Vendor Payments,892
2019-02-20,Outflow,Professional Services,147
2019-02-20,Inflow,Consulting Fees,383
2019-02-20,Outflow,Travel & Transport,77
2019-02-20,Inflow,Asset Sales,100
2019-02-20,Inflow,Interest Income,100
2019-02-20,Inflow,Tax Refunds,100
2019-02-20,Inflow,Commission Income,195
2019-02-20,Inflow,Grant / Aid Received,157
2019-02-20,Inflow,Service Fees,829
2019-02-21,Outflow,Professional Services,173
2019-02-21,Outflow,Travel & Transport,84
2019-02-21,Outflow,Office Supplies,51
2019-02-21,Outflow,Tax Payments,50
2019-02-21,Outflow,Marketing & Ads,203
2019-02-21,Inflow,Consulting Fees,401
2019-02-21,Inflow,Asset Sales,100
2019-02-21,Inflow,Tax Refunds,100
2019-02-21,Inflow,Subscription Income,474
2019-02-21,Inflow,Service Fees,1274
2019-02-21,Inflow,Sales Revenue,2819
2019-02-21,Inflow,Commission Income,178
2019-02-22,Inflow,Sales Revenue,2603
2019-02-22,Inflow,Grant / Aid Received,108
2019-02-22,Inflow,Interest Income,100
2019-02-22,Inflow,Commission Income,234
2019-02-22,Inflow,Consulting Fees,473
2019-02-22,Outflow,Marketing & Ads,198
2019-02-23,Outflow,Maintenance & Repairs,50
2019-02-23,Outflow,Tax Payments,50
2019-02-23,Inflow,Subscription Income,487
2019-02-23,Outflow,Vendor Payments,289
2019-02-23,Outflow,Marketing & Ads,61
2019-02-24,Inflow,Subscription Income,391
2019-02-25,Outflow,Maintenance & Repairs,61
2019-02-25,Outflow,Professional Services,144
2019-02-25,Outflow,Travel & Transport,50
2019-02-25,Outflow,Office Supplies,50
2019-02-25,Outflow,Tax Payments,50
2019-02-25,Inflow,Commission Income,153
2019-02-25,Outflow,Vendor Payments,357
2019-02-25,Inflow,Interest Income,104
2019-02-25,Inflow,Grant / Aid Received,126
2019-02-25,Inflow,Subscription Income,454
2019-02-25,Inflow,Service Fees,525
2019-02-25,Inflow,Sales Revenue,1793
2019-02-25,Inflow,Asset Sales,100
2019-02-26,Outflow,Vendor Payments,389
2019-02-26,Outflow,Professional Services,187
2019-02-26,Outflow,Travel & Transport,77
2019-02-26,Outflow,Equipment Purchase,166
2019-02-26,Outflow,Tax Payments,50
2019-02-26,Inflow,Consulting Fees,535
2019-02-26,Inflow,Service Fees,933
2019-02-26,Inflow,Interest Income,100
2019-02-26,Inflow,Tax Refunds,100
2019-02-26,Inflow,Grant / Aid Received,114
2019-02-26,Inflow,Subscription Income,691
2019-02-26,Inflow,Commission Income,208
2019-02-27,Outflow,Travel & Transport,110
2019-02-27,Outflow,Equipment Purchase,158
2019-02-27,Outflow,Tax Payments,50
2019-02-27,Outflow,Marketing & Ads,257
2019-02-27,Outflow,Vendor Payments,645
2019-02-27,Inflow,Consulting Fees,408
2019-02-27,Outflow,Maintenance & Repairs,116
2019-02-27,Inflow,Asset Sales,100
2019-02-27,Inflow,Interest Income,104
2019-02-27,Inflow,Tax Refunds,100
2019-02-27,Inflow,Grant / Aid Received,122
2019-02-27,Inflow,Subscription Income,608
2019-02-27,Inflow,Sales Revenue,2251
2019-02-27,Inflow,Commission Income,181
2019-02-28,Outflow,Maintenance & Repairs,115
2019-02-28,Outflow,Travel & Transport,77
2019-02-28,Outflow,Office Supplies,64
2019-02-28,Outflow,Equipment Purchase,195
2019-02-28,Outflow,Tax Payments,50
2019-02-28,Outflow,Marketing & Ads,225
2019-02-28,Outflow,Staff Salaries,25381
2019-02-28,Inflow,Interest Income,100
2019-02-28,Inflow,Grant / Aid Received,117
2019-02-28,Inflow,Subscription Income,708
2019-02-28,Inflow,Service Fees,942
2019-02-28,Inflow,Consulting Fees,373
2019-03-01,Outflow,Rent & Utilities,8908
2019-03-01,Outflow,Travel & Transport,92
2019-03-01,Outflow,Office Supplies,55
2019-03-01,Outflow,Maintenance & Repairs,138
2019-03-01,Outflow,Marketing & Ads,313
2019-03-01,Outflow,Vendor Payments,867
2019-03-01,Inflow,Consulting Fees,530
2019-03-01,Inflow,Subscription Income,669
2019-03-01,Inflow,Interest Income,105
2019-03-01,Inflow,Tax Refunds,527
2019-03-01,Inflow,Grant / Aid Received,100
2019-03-01,Inflow,Service Fees,1025
2019-03-01,Inflow,Sales Revenue,1985
2019-03-01,Inflow,Asset Sales,100
2019-03-02,Outflow,Office Supplies,50
2019-03-02,Outflow,Equipment Purchase,50
2019-03-02,Outflow,Marketing & Ads,116
2019-03-02,Inflow,Interest Income,100
2019-03-02,Inflow,Subscription Income,485
2019-03-02,Inflow,Service Fees,314
2019-03-02,Inflow,Rental Income,214
2019-03-03,Inflow,Subscription Income,345
2019-03-03,Inflow,Grant / Aid Received,100
2019-03-04,Outflow,Travel & Transport,74
2019-03-04,Outflow,Professional Services,196
2019-03-04,Outflow,Equipment Purchase,102
2019-03-04,Outflow,Maintenance & Repairs,94
2019-03-04,Inflow,Subscription Income,634
2019-03-04,Inflow,Sales Revenue,2079
2019-03-04,Outflow,Tax Payments,697
2019-03-05,Outflow,Maintenance & Repairs,130
2019-03-05,Outflow,Professional Services,218
2019-03-05,Outflow,Travel & Transport,102
2019-03-05,Outflow,Office Supplies,61
2019-03-05,Outflow,Insurance Premiums,2806
2019-03-05,Outflow,Vendor Payments,809
2019-03-05,Outflow,Equipment Purchase,120
2019-03-05,Inflow,Commission Income,211
2019-03-05,Inflow,Interest Income,122
2019-03-05,Inflow,Tax Refunds,330
2019-03-05,Inflow,Grant / Aid Received,102
2019-03-05,Inflow,Subscription Income,530
2019-03-05,Inflow,Service Fees,1269
2019-03-05,Inflow,Consulting Fees,480
2019-03-06,Outflow,Marketing & Ads,303
2019-03-06,Outflow,Professional Services,187
2019-03-06,Outflow,Travel & Transport,128
2019-03-06,Outflow,Maintenance & Repairs,111
2019-03-06,Outflow,Office Supplies,50
2019-03-06,Outflow,Equipment Purchase,180
2019-03-06,Outflow,Vendor Payments,753
2019-03-06,Inflow,Subscription Income,642
2019-03-06,Inflow,Commission Income,178
2019-03-06,Inflow,Interest Income,124
2019-03-06,Inflow,Tax Refunds,541
2019-03-06,Inflow,Grant / Aid Received,160
2019-03-06,Inflow,Service Fees,873
2019-03-06,Inflow,Sales Revenue,2814
2019-03-06,Inflow,Consulting Fees,412
2019-03-07,Outflow,Travel & Transport,96
2019-03-07,Outflow,Tax Payments,585
2019-03-07,Inflow,Consulting Fees,605
2019-03-07,Inflow,Commission Income,183
2019-03-07,Inflow,Asset Sales,100
2019-03-07,Outflow,Office Supplies,50
